Gene,Cluster_40,Module
7SK,9,1
A2M,16,24
A2M-AS1,9,0
A2ML1,9,1
A4GALT,4,2
AAAS,4,0
AACS,0,19
AADAC,13,1
AADACL2,9,1
AADACL2-AS1,9,1
AADACL3,9,6
AADACP1,14,5
AAGAB,12,3
AAK1,36,7
AAMDC,13,1
AAMP,12,1
AANAT,9,0
AAR2,12,0
AARS1,36,1
AARS2,4,2
AARSD1,9,0
AARSD1P1,9,1
AASDH,33,3
AASDHPPT,7,2
AASS,25,1
AATBC,9,0
AATF,12,0
AATK,0,1
AB015752.3,9,1
AB019441.29,9,23
ABALON,9,0
ABAT,24,0
ABC10-44372100G24.1,24,1
ABC12-46663800M24.2,14,0
ABC7-42404400C24.1,39,0
ABCA1,11,4
ABCA10,9,1
ABCA11P,9,0
ABCA12,9,1
ABCA13,13,0
ABCA17P,9,1
ABCA2,13,0
ABCA3,4,8
ABCA4,22,1
ABCA5,13,4
ABCA7,14,0
ABCA8,13,7
ABCA9,13,9
ABCB1,9,1
ABCB10,0,2
ABCB11,9,1
ABCB4,9,1
ABCB6,16,1
ABCB7,7,1
ABCC1,36,0
ABCC10,0,2
ABCC11,9,1
ABCC12,9,1
ABCC2,0,1
ABCC3,13,7
ABCC4,7,0
ABCC5,33,1
ABCC6,9,1
ABCC8,22,1
ABCC9,9,1
ABCD1,13,0
ABCD3,7,8
ABCD4,26,0
ABCE1,15,3
ABCF1,36,0
ABCF2,4,2
ABCF3,7,0
ABCG1,37,10
ABCG2,13,24
ABCG4,9,1
ABCG5,9,1
ABCG8,9,1
ABHD1,9,0
ABHD10,0,3
ABHD11,13,0
ABHD11-AS1,9,1
ABHD12B,9,1
ABHD13,7,2
ABHD14A,16,3
ABHD14B,13,7
ABHD15,24,8
ABHD16A,24,0
ABHD17A,30,2
ABHD17B,7,1
ABHD17C,39,0
ABHD18,33,0
ABHD2,15,0
ABHD3,33,1
ABHD4,30,5
ABHD5,7,1
ABHD6,13,0
ABHD8,39,0
ABI1,36,1
ABI2,7,0
ABI3,29,0
ABI3BP,15,9
ABITRAM,0,19
ABL1,15,2
ABL2,3,1
ABLIM1,36,7
ABLIM2,24,0
ABLIM3,4,3
ABR,36,3
ABRACL,16,3
ABRAXAS1,16,0
ABRAXAS2,7,1
ABT1,7,2
ABTB1,13,0
ABTB2,39,1
AC000050.1,9,0
AC000068.10,9,0
AC000068.5,14,1
AC000078.5,9,22
AC000120.7,9,0
AC000123.2,13,0
AC000123.3,9,0
AC000123.4,9,0
AC000403.4,0,3
AC002066.1,9,0
AC002075.3,9,1
AC002075.4,9,1
AC002310.12,9,0
AC002310.14,9,2
AC002331.2,13,5
AC002451.3,9,0
AC002456.2,9,1
AC002463.3,9,1
AC002467.7,13,0
AC002480.3,22,2
AC002480.4,33,2
AC002543.2,9,0
AC002550.6,9,0
AC003002.6,9,0
AC003075.4,9,1
AC003084.2,9,5
AC003090.1,9,1
AC003092.1,13,5
AC003101.1,9,0
AC003104.1,9,1
AC004057.1,9,16
AC004067.5,9,0
AC004076.5,9,0
AC004112.4,9,0
AC004156.3,9,1
AC004237.1,9,0
AC004381.8,9,1
AC004381.9,9,1
AC004448.5,9,1
AC004471.9,9,0
AC004490.1,9,1
AC004538.3,9,0
AC004540.4,9,1
AC004540.5,22,1
AC004637.1,9,1
AC004704.2,0,5
AC004800.1,9,1
AC004837.5,9,0
AC004945.1,9,1
AC004980.7,33,1
AC005076.5,9,1
AC005077.14,9,1
AC005077.7,9,1
AC005082.12,9,0
AC005104.3,9,0
AC005154.7,9,0
AC005253.2,9,0
AC005301.9,9,0
AC005336.4,9,1
AC005355.1,9,1
AC005487.2,11,1
AC005519.4,9,0
AC005532.5,9,1
AC005540.3,9,1
AC005550.3,9,1
AC005562.1,9,1
AC005578.3,9,0
AC005593.2,9,1
AC005606.14,9,0
AC005618.10,9,1
AC005618.6,9,1
AC005682.6,16,0
AC005740.6,9,0
AC005753.3,9,0
AC006042.6,9,0
AC006116.12,9,0
AC006116.19,9,0
AC006116.28,24,0
AC006129.1,13,1
AC006130.5,9,1
AC006159.5,9,0
AC006160.5,11,1
AC006262.6,9,1
AC006277.2,9,0
AC006277.3,9,1
AC006369.2,9,1
AC006372.6,9,1
AC006460.2,13,1
AC006486.10,33,1
AC006538.1,9,0
AC006538.8,9,1
AC006538.9,9,1
AC006547.13,9,1
AC006978.6,11,0
AC006994.2,9,1
AC007050.17,9,1
AC007126.1,9,5
AC007191.4,9,0
AC007255.8,9,0
AC007278.2,9,1
AC007278.3,9,1
AC007292.3,9,0
AC007319.1,39,1
AC007362.3,24,0
AC007365.3,9,1
AC007383.3,9,1
AC007566.10,9,0
AC007682.1,9,1
AC007743.1,24,0
AC007750.5,9,5
AC007787.2,9,1
AC007879.2,9,2
AC007879.4,9,1
AC007879.5,9,1
AC007950.2,9,1
AC007952.5,9,0
AC008073.9,9,1
AC008079.10,9,0
