Name,Module
7SK,21
A2M,40
A2M-AS1,21
A2ML1,21
A4GALT,42
AAAS,32
AACS,15
AADAC,9
AADACL2,21
AADACL2-AS1,21
AADACL3,21
AADACP1,24
AAGAB,15
AAK1,13
AAMDC,13
AAMP,29
AANAT,21
AAR2,29
AARS1,14
AARS2,4
AARSD1,21
AARSD1P1,21
AASDH,29
AASDHPPT,6
AASS,18
AATBC,21
AATF,13
AATK,1
AB015752.3,21
AB019441.29,19
ABALON,21
ABAT,39
ABC10-44372100G24.1,46
ABC12-46663800M24.2,27
ABC7-42404400C24.1,41
ABCA1,32
ABCA10,21
ABCA11P,21
ABCA12,21
ABCA13,8
ABCA17P,21
ABCA2,8
ABCA3,18
ABCA4,27
ABCA5,25
ABCA6,28
ABCA7,41
ABCA8,32
ABCA9,7
ABCB1,21
ABCB10,3
ABCB11,21
ABCB4,21
ABCB6,27
ABCB7,13
ABCB8,28
ABCB9,1
ABCC1,37
ABCC10,28
ABCC11,21
ABCC12,21
ABCC2,13
ABCC3,9
ABCC4,7
ABCC5,42
ABCC6,21
ABCC8,9
ABCC9,21
ABCD1,8
ABCD3,11
ABCD4,4
ABCE1,32
ABCF1,14
ABCF2,4
ABCF3,18
ABCG1,18
ABCG2,41
ABCG4,21
ABCG5,21
ABCG8,21
ABHD1,21
ABHD10,3
ABHD11,9
ABHD11-AS1,21
ABHD12,28
ABHD12B,21
ABHD13,3
ABHD14A,27
ABHD14B,25
ABHD15,15
ABHD16A,18
ABHD17A,26
ABHD17B,26
ABHD17C,1
ABHD18,1
ABHD2,44
ABHD3,20
ABHD4,25
ABHD5,7
ABHD6,15
ABHD8,25
ABI1,15
ABI2,3
ABI3,26
ABI3BP,20
ABITRAM,28
ABL1,44
ABL2,38
ABLIM1,14
ABLIM2,15
ABLIM3,4
ABR,14
ABRACL,1
ABRAXAS1,15
ABRAXAS2,3
ABT1,18
ABTB1,9
ABTB2,1
AC000050.1,21
AC000068.10,21
AC000068.5,41
AC000078.5,21
AC000120.7,21
AC000123.2,8
AC000123.3,21
AC000123.4,21
AC000403.4,41
AC002066.1,21
AC002075.3,21
AC002075.4,21
AC002310.12,21
AC002310.14,21
AC002331.2,9
AC002451.3,21
AC002456.2,21
AC002463.3,21
AC002467.7,7
AC002480.3,8
AC002480.4,8
AC002543.2,21
AC002550.6,21
AC003002.6,21
AC003075.4,43
AC003080.4,21
AC003084.2,21
AC003090.1,21
AC003092.1,23
AC003101.1,21
AC003104.1,21
AC004057.1,21
AC004067.5,21
AC004076.5,21
AC004112.4,21
AC004156.3,21
AC004237.1,21
AC004381.8,21
AC004381.9,21
AC004448.5,21
AC004471.9,21
AC004490.1,21
AC004538.3,21
AC004540.4,21
AC004540.5,41
AC004637.1,21
AC004704.2,7
AC004800.1,21
AC004837.5,21
AC004945.1,21
AC004980.7,23
AC005076.5,21
AC005077.14,21
AC005077.7,21
AC005082.12,21
AC005104.3,21
AC005154.7,21
AC005253.2,21
AC005301.9,21
AC005336.4,21
AC005355.1,21
AC005487.2,41
AC005519.4,21
AC005532.5,19
AC005540.3,21
AC005550.3,21
AC005562.1,21
AC005578.3,21
AC005593.2,21
AC005606.14,21
AC005618.10,21
AC005618.6,21
AC005682.6,27
AC005740.6,21
AC005753.3,21
AC006042.6,21
AC006116.12,21
AC006116.19,21
AC006116.28,46
AC006129.1,7
AC006130.5,21
AC006159.5,21
AC006160.5,41
AC006262.6,21
AC006277.2,21
AC006277.3,43
AC006369.2,21
AC006372.6,21
AC006460.2,7
AC006486.10,46
AC006538.1,21
AC006538.8,21
AC006538.9,21
AC006547.13,21
AC006978.6,27
AC006994.2,21
AC007050.17,21
AC007126.1,21
AC007191.4,21
AC007255.8,21
AC007278.2,21
AC007278.3,21
AC007292.3,21
AC007319.1,8
AC007362.3,9
AC007365.3,21
AC007383.3,21
AC007566.10,19
AC007682.1,21
AC007743.1,25
AC007750.5,21
AC007787.2,21
AC007879.2,21
AC007879.4,21
AC007879.5,21
AC007950.2,21
AC007952.5,21
AC008073.9,21
AC008079.10,19
AC008269.2,27
AC008277.1,21
AC008592.5,27
AC008592.8,21
AC008781.7,21
AC008937.3,21
AC008982.2,21
AC008985.1,21
AC009120.11,21
AC009120.3,21
AC009120.5,21
AC009120.6,13
AC009133.12,21
AC009228.1,21
AC009229.6,21
AC009237.8,21
AC009303.1,21
AC009303.2,21
AC009403.2,21
AC009404.2,41
AC009501.4,21
AC009505.2,21
AC009506.1,43
AC009784.3,21
AC009961.3,18
AC010084.1,25
AC010091.1,21
AC010105.1,21
AC010226.4,23
AC010240.2,21
AC010492.2,21
AC010504.2,21
AC010524.2,21
AC010524.4,21
AC010641.1,21
AC010642.2,21
AC010761.13,21
AC010761.8,39
AC010886.2,21
AC010967.2,21
AC010969.1,21
AC010976.2,46
AC010987.5,21
AC011239.2,21
AC011247.3,21
AC011286.1,21
AC011288.2,21
AC011290.5,21
AC011298.2,21
AC011380.8,21
AC011406.2,21
AC011752.1,21
AC012314.8,19
AC012358.8,21
AC012360.6,20
AC012368.1,21
AC012462.2,21
AC012513.4,21
AC012613.2,41
AC012668.2,1
AC013463.2,21
AC013733.4,21
AC015849.19,21
AC015923.1,21
AC015971.2,21
AC015987.1,21
AC016722.4,21
AC016738.4,18
AC016747.3,8
AC016831.6,21
AC017006.3,21
AC017074.2,19
AC017101.10,21
AC017104.2,21
AC017104.6,21
AC018462.2,21
AC018766.6,21
AC018816.3,21
AC018890.6,21
AC019186.1,21
AC020951.1,21
AC020956.3,21
AC021218.2,41
AC022007.5,7
AC022154.7,21
AC022182.1,21
AC022819.3,21
AC023137.2,21
AC023590.1,21
AC024084.1,21
AC024560.3,8
AC024592.9,21
AC024704.2,21
AC025171.1,9
AC025442.4,18
AC026202.3,21
AC026271.5,46
AC027601.1,21
AC034187.2,21
AC037445.1,21
AC046143.3,18
AC055764.1,21
AC058791.1,1
AC063976.7,21
AC064834.1,21
AC064875.2,21
AC067959.1,21
AC068522.4,21
AC068580.6,21
AC068831.18,21
AC069282.6,23
AC073063.10,21
AC073115.6,21
AC073130.1,6
AC073130.3,21
AC073254.1,21
AC073321.4,21
AC073333.8,21
AC073343.13,21
AC073621.2,27
AC074117.10,13
AC074286.1,41
AC074289.1,9
AC074366.3,21
AC074391.1,21
AC079145.4,21
AC079250.1,21
AC079305.10,21
AC079305.11,21
AC079305.8,9
AC079325.5,21
AC079613.1,21
AC079807.2,21
AC079807.4,21
AC079922.3,21
AC083843.1,39
