Name,Module
7SK,2
A2M,15
A2M-AS1,2
A2ML1,2
A4GALT,31
AAAS,20
AACS,29
AADAC,0
AADACL2,2
AADACL2-AS1,2
AADACL3,2
AADACP1,6
AAGAB,29
AAK1,29
AAMDC,15
AAMP,18
AANAT,2
AAR2,18
AARS1,36
AARS2,5
AARSD1,2
AARSD1P1,2
AASDH,18
AASDHPPT,23
AASS,14
AATBC,2
AATF,29
AATK,9
AB015752.3,2
AB019441.29,3
ABALON,2
ABAT,7
ABC10-44372100G24.1,14
ABC12-46663800M24.2,26
ABC7-42404400C24.1,13
ABCA1,20
ABCA10,2
ABCA11P,2
ABCA12,2
ABCA13,39
ABCA17P,2
ABCA2,39
ABCA3,14
ABCA4,26
ABCA5,22
ABCA6,28
ABCA7,13
ABCA8,20
ABCA9,16
ABCB1,2
ABCB10,13
ABCB11,2
ABCB4,2
ABCB6,26
ABCB7,29
ABCB8,28
ABCB9,9
ABCC1,19
ABCC10,28
ABCC11,2
ABCC12,2
ABCC2,15
ABCC3,0
ABCC4,16
ABCC5,31
ABCC6,2
ABCC8,0
ABCC9,2
ABCD1,39
ABCD3,15
ABCD4,5
ABCE1,20
ABCF1,36
ABCF2,5
ABCF3,14
ABCG1,14
ABCG2,13
ABCG4,2
ABCG5,2
ABCG8,2
ABHD1,2
ABHD10,13
ABHD11,0
ABHD11-AS1,2
ABHD12,28
ABHD12B,2
ABHD13,13
ABHD14A,26
ABHD14B,0
ABHD15,29
ABHD16A,14
ABHD17A,24
ABHD17B,24
ABHD17C,9
ABHD18,9
ABHD2,12
ABHD3,35
ABHD4,22
ABHD5,16
ABHD6,29
ABHD8,22
ABI1,29
ABI2,13
ABI3,24
ABI3BP,35
ABITRAM,28
ABL1,12
ABL2,11
ABLIM1,36
ABLIM2,29
ABLIM3,5
ABR,36
ABRACL,9
ABRAXAS1,29
ABRAXAS2,13
ABT1,14
ABTB1,0
ABTB2,9
AC000050.1,2
AC000068.10,2
AC000068.5,13
AC000078.5,2
AC000120.7,2
AC000123.2,39
AC000123.3,2
AC000123.4,2
AC000403.4,13
AC002066.1,2
AC002075.3,2
AC002075.4,2
AC002310.12,2
AC002310.14,2
AC002331.2,0
AC002451.3,2
AC002456.2,2
AC002463.3,2
AC002467.7,16
AC002480.3,39
AC002480.4,39
AC002543.2,2
AC002550.6,2
AC003002.6,2
AC003075.4,2
AC003080.4,2
AC003084.2,2
AC003090.1,2
AC003092.1,34
AC003101.1,2
AC003104.1,2
AC004057.1,2
AC004067.5,2
AC004076.5,2
AC004112.4,2
AC004156.3,2
AC004237.1,2
AC004381.8,2
AC004381.9,2
AC004448.5,2
AC004471.9,2
AC004490.1,2
AC004538.3,2
AC004540.4,2
AC004540.5,13
AC004637.1,2
AC004704.2,16
AC004800.1,2
AC004837.5,2
AC004945.1,2
AC004980.7,34
AC005076.5,2
AC005077.14,2
AC005077.7,2
AC005082.12,2
AC005104.3,2
AC005154.7,2
AC005253.2,2
AC005301.9,2
AC005336.4,2
AC005355.1,2
AC005487.2,13
AC005519.4,2
AC005532.5,3
AC005540.3,2
AC005550.3,2
AC005562.1,2
AC005578.3,2
AC005593.2,2
AC005606.14,2
AC005618.10,2
AC005618.6,2
AC005682.6,26
AC005740.6,2
AC005753.3,2
AC006042.6,2
AC006116.12,2
AC006116.19,2
AC006116.28,14
AC006129.1,16
AC006130.5,2
AC006159.5,2
AC006160.5,13
AC006262.6,2
AC006277.2,2
AC006277.3,2
AC006369.2,2
AC006372.6,2
AC006460.2,16
AC006486.10,16
AC006538.1,2
AC006538.8,2
AC006538.9,2
AC006547.13,2
AC006978.6,26
AC006994.2,2
AC007050.17,2
AC007126.1,2
AC007191.4,2
AC007255.8,2
AC007278.2,2
AC007278.3,2
AC007292.3,2
AC007319.1,39
AC007362.3,0
AC007365.3,2
AC007383.3,2
AC007566.10,3
AC007682.1,2
AC007743.1,22
AC007750.5,2
AC007787.2,2
AC007879.2,2
AC007879.4,2
AC007879.5,2
AC007950.2,2
AC007952.5,2
AC008073.9,2
AC008079.10,3
AC008269.2,26
AC008277.1,2
AC008592.5,26
AC008592.8,2
AC008781.7,2
AC008937.3,2
AC008982.2,2
AC008985.1,2
AC009120.11,2
AC009120.3,2
AC009120.5,2
AC009120.6,15
AC009133.12,2
AC009228.1,2
AC009229.6,2
AC009237.8,2
AC009303.1,2
AC009303.2,2
AC009403.2,2
AC009404.2,13
AC009501.4,2
AC009505.2,2
AC009506.1,2
AC009784.3,2
AC009961.3,14
AC010084.1,22
AC010091.1,2
AC010105.1,2
AC010226.4,34
AC010240.2,2
AC010492.2,2
AC010504.2,2
AC010524.2,2
AC010524.4,2
AC010641.1,2
AC010642.2,2
AC010761.13,2
AC010761.8,7
AC010886.2,2
AC010967.2,2
AC010969.1,2
AC010976.2,16
AC010987.5,2
AC011239.2,2
AC011247.3,2
AC011286.1,2
AC011288.2,2
AC011290.5,2
AC011298.2,2
AC011380.8,2
AC011406.2,2
AC011752.1,2
AC012314.8,3
AC012358.8,2
AC012360.6,35
