Cluster_40,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,40,120,51,7,6,1,3,3,5,0,4,0,3,0,4,0,0,1,4,5,0,0,7,1,45,3,0,1,0,1,0,0,0,0,0,0,2,0,0,0
1,33,196,47,3,1,4,8,5,0,0,1,0,2,1,0,0,4,0,3,11,1,1,3,2,112,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2,19,43,9,12,3,4,4,6,1,0,0,0,0,0,1,0,0,1,0,10,3,0,0,2,58,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,42,35,7,0,3,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
6,139,282,93,8,8,7,12,2,10,0,9,5,0,0,2,0,0,0,0,15,0,1,2,2,121,0,1,7,0,1,0,0,0,0,0,1,0,0,1,0
7,64,2750,32,27,8,169,141,6,2,75,3,0,4,21,0,19,54,27,0,148,0,3,7,82,4591,1,0,0,19,0,2,9,0,1,6,0,0,20,0,1
8,8,33,2,2,1,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9,157,461,151,22,2,12,36,18,4,5,7,5,6,2,1,3,0,7,1,27,1,5,9,4,243,3,1,1,0,1,3,1,0,2,1,0,1,0,1,6
10,53,292,44,8,2,17,15,11,1,2,3,2,1,2,0,1,0,4,0,14,1,1,2,1,195,2,0,1,0,0,0,0,1,0,1,0,0,2,0,2
11,176,713,147,33,7,14,43,27,3,2,2,0,7,1,1,2,2,10,1,54,5,1,6,12,432,6,3,0,2,0,2,2,3,2,0,0,0,1,3,5
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,188,320,149,26,10,17,29,9,11,0,7,5,2,0,0,0,0,2,2,24,0,3,8,2,175,4,2,4,0,1,2,0,2,0,0,0,1,1,3,1
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,51,313,50,10,4,8,18,5,3,2,0,1,2,0,1,7,2,1,0,9,0,0,3,2,225,2,0,0,0,0,0,0,1,2,2,0,0,0,1,3
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,40,287,37,5,4,9,17,8,1,0,0,1,1,0,0,1,1,0,0,12,1,0,1,1,209,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5
19,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,32,76,25,4,0,3,2,2,2,0,3,0,1,0,1,0,0,0,0,9,0,2,1,0,34,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
22,28,146,23,7,1,4,9,2,0,2,2,1,1,0,0,2,2,1,0,5,1,2,2,1,146,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
23,83,131,60,9,6,5,13,2,4,0,6,0,3,2,0,0,1,1,0,11,0,0,3,1,75,4,1,0,0,0,0,0,1,0,0,1,0,0,0,1
24,51,188,28,6,7,8,20,6,3,2,0,0,1,2,0,1,3,3,1,13,1,1,1,1,151,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0
25,11,11,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,72,163,54,5,8,1,14,1,10,0,3,1,0,0,2,0,0,2,3,13,0,0,3,3,78,0,0,3,0,1,0,0,0,0,0,1,4,1,0,0
27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,51,91,35,6,2,0,2,1,2,0,3,1,1,0,1,0,1,0,1,5,0,2,2,0,49,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,49,101,36,1,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,2,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,79,354,61,17,1,13,28,10,3,2,0,2,0,1,0,2,2,6,1,22,4,1,4,3,246,3,0,1,0,1,1,0,0,2,4,0,1,1,0,1
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,37,58,27,5,3,2,4,1,3,0,2,0,0,0,0,0,0,1,0,4,0,2,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,243,562,257,12,9,2,13,6,14,1,12,7,3,0,7,0,2,2,3,19,0,2,4,1,152,2,2,1,0,6,0,0,1,0,0,2,0,1,1,1
37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,8,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,213,440,179,4,14,8,17,4,12,0,18,5,6,1,5,0,0,0,1,30,0,7,6,1,200,1,1,4,0,4,0,0,0,0,0,6,0,0,0,0
