"Gene","Module"
"7SK",1
"A2M",24
"A2M-AS1",0
"A2ML1",1
"A4GALT",2
"AAAS",0
"AACS",19
"AADAC",1
"AADACL2",1
"AADACL2-AS1",1
"AADACL3",6
"AADACP1",5
"AAGAB",3
"AAK1",7
"AAMDC",1
"AAMP",1
"AANAT",0
"AAR2",0
"AARS1",1
"AARS2",2
"AARSD1",0
"AARSD1P1",1
"AASDH",3
"AASDHPPT",2
"AASS",1
"AATBC",0
"AATF",0
"AATK",1
"AB015752.3",1
"AB019441.29",23
"ABALON",0
"ABAT",0
"ABC10-44372100G24.1",1
"ABC12-46663800M24.2",0
"ABC7-42404400C24.1",0
"ABCA1",4
"ABCA10",1
"ABCA11P",0
"ABCA12",1
"ABCA13",0
"ABCA17P",1
"ABCA2",0
"ABCA3",8
"ABCA4",1
"ABCA5",4
"ABCA6",0
"ABCA7",0
"ABCA8",7
"ABCA9",9
"ABCB1",1
"ABCB10",2
"ABCB11",1
"ABCB4",1
"ABCB6",1
"ABCB7",1
"ABCB8",0
"ABCB9",0
"ABCC1",0
"ABCC10",2
"ABCC11",1
"ABCC12",1
"ABCC2",1
"ABCC3",7
"ABCC4",0
"ABCC5",1
"ABCC6",1
"ABCC8",1
"ABCC9",1
"ABCD1",0
"ABCD3",8
"ABCD4",0
"ABCE1",3
"ABCF1",0
"ABCF2",2
"ABCF3",0
"ABCG1",10
"ABCG2",24
"ABCG4",1
"ABCG5",1
"ABCG8",1
"ABHD1",0
"ABHD10",3
"ABHD11",0
"ABHD11-AS1",1
"ABHD12",0
"ABHD12B",1
"ABHD13",2
"ABHD14A",3
"ABHD14B",7
"ABHD15",8
"ABHD16A",0
"ABHD17A",2
"ABHD17B",1
"ABHD17C",0
"ABHD18",0
"ABHD2",0
"ABHD3",1
"ABHD4",5
"ABHD5",1
"ABHD6",0
"ABHD8",0
"ABI1",1
"ABI2",0
"ABI3",0
"ABI3BP",9
"ABITRAM",19
"ABL1",2
"ABL2",1
"ABLIM1",7
"ABLIM2",0
"ABLIM3",3
"ABR",3
"ABRACL",3
"ABRAXAS1",0
"ABRAXAS2",1
"ABT1",2
"ABTB1",0
"ABTB2",1
"AC000050.1",0
"AC000068.10",0
"AC000068.5",1
"AC000078.5",22
"AC000120.7",0
"AC000123.2",0
"AC000123.3",0
"AC000123.4",0
"AC000403.4",3
"AC002066.1",0
"AC002075.3",1
"AC002075.4",1
"AC002310.12",0
"AC002310.14",2
"AC002331.2",5
"AC002451.3",0
"AC002456.2",1
"AC002463.3",1
"AC002467.7",0
"AC002480.3",2
"AC002480.4",2
"AC002543.2",0
"AC002550.6",0
"AC003002.6",0
"AC003075.4",1
"AC003080.4",9
"AC003084.2",5
"AC003090.1",1
"AC003092.1",5
"AC003101.1",0
"AC003104.1",1
"AC004057.1",16
"AC004067.5",0
"AC004076.5",0
"AC004112.4",0
"AC004156.3",1
"AC004237.1",0
"AC004381.8",1
"AC004381.9",1
"AC004448.5",1
"AC004471.9",0
"AC004490.1",1
"AC004538.3",0
"AC004540.4",1
"AC004540.5",1
"AC004637.1",1
"AC004704.2",5
"AC004800.1",1
"AC004837.5",0
"AC004945.1",1
"AC004980.7",1
"AC005076.5",1
"AC005077.14",1
"AC005077.7",1
"AC005082.12",0
"AC005104.3",0
"AC005154.7",0
"AC005253.2",0
"AC005301.9",0
"AC005336.4",1
"AC005355.1",1
"AC005487.2",1
"AC005519.4",0
"AC005532.5",1
"AC005540.3",1
"AC005550.3",1
"AC005562.1",1
"AC005578.3",0
"AC005593.2",1
"AC005606.14",0
"AC005618.10",1
"AC005618.6",1
"AC005682.6",0
"AC005740.6",0
"AC005753.3",0
"AC006042.6",0
"AC006116.12",0
"AC006116.19",0
"AC006116.28",0
"AC006129.1",1
"AC006130.5",1
"AC006159.5",0
"AC006160.5",1
"AC006262.6",1
"AC006277.2",0
"AC006277.3",1
"AC006369.2",1
"AC006372.6",1
"AC006460.2",1
"AC006486.10",1
"AC006538.1",0
"AC006538.8",1
"AC006538.9",1
"AC006547.13",1
"AC006978.6",0
"AC006994.2",1
"AC007050.17",1
"AC007126.1",5
"AC007191.4",0
"AC007255.8",0
"AC007278.2",1
"AC007278.3",1
"AC007292.3",0
"AC007319.1",1
"AC007362.3",0
"AC007365.3",1
"AC007383.3",1
"AC007566.10",0
"AC007682.1",1
"AC007743.1",0
"AC007750.5",5
"AC007787.2",1
"AC007879.2",2
"AC007879.4",1
"AC007879.5",1
"AC007950.2",1
"AC007952.5",0
"AC008073.9",1
"AC008079.10",0
"AC008269.2",1
"AC008277.1",0
"AC008592.5",0
"AC008592.8",5
"AC008781.7",6
"AC008937.3",1
"AC008982.2",0
"AC008985.1",1
"AC009120.11",1
"AC009120.3",9
"AC009120.5",1
"AC009120.6",1
"AC009133.12",0
"AC009228.1",0
"AC009229.6",1
"AC009237.8",0
"AC009303.1",1
"AC009303.2",0
"AC009403.2",0
"AC009404.2",1
"AC009501.4",23
"AC009505.2",0
"AC009506.1",17
"AC009784.3",1
"AC009961.3",1
"AC010084.1",0
"AC010091.1",5
"AC010105.1",1
"AC010226.4",1
"AC010240.2",9
"AC010492.2",1
"AC010504.2",0
"AC010524.2",1
"AC010524.4",12
"AC010641.1",1
"AC010642.2",0
"AC010761.13",0
"AC010761.8",2
"AC010886.2",1
"AC010967.2",1
"AC010969.1",1
"AC010976.2",1
"AC010987.5",5
"AC011239.2",1
"AC011247.3",1
"AC011286.1",1
"AC011288.2",1
"AC011290.5",0
"AC011298.2",1
"AC011380.8",0
"AC011406.2",0
"AC011752.1",1
"AC012314.8",1
"AC012358.8",0
"AC012360.6",1
"AC012368.1",0
"AC012462.2",1
"AC012513.4",1
"AC012613.2",0
"AC012668.2",0
"AC013463.2",0
"AC013733.4",1
"AC015849.19",4
"AC015923.1",0
"AC015971.2",1
"AC015987.1",0
"AC016722.4",1
"AC016738.4",0
"AC016747.3",3
"AC016831.6",1
"AC017006.3",1
"AC017074.2",1
"AC017101.10",0
"AC017104.2",0
"AC017104.6",6
"AC018462.2",0
"AC018766.6",1
"AC018816.3",1
"AC018890.6",0
"AC019186.1",1
"AC020951.1",0
"AC020956.3",1
"AC021218.2",0
"AC022007.5",1
"AC022154.7",0
"AC022182.1",0
"AC022819.3",0
"AC023137.2",0
"AC023590.1",0
"AC024084.1",1
"AC024560.3",15
"AC024592.9",1
"AC024704.2",6
"AC025171.1",0
"AC025442.4",1
"AC026202.3",0
"AC026271.5",2
"AC027601.1",0
"AC034187.2",1
"AC037445.1",0
"AC046143.3",0
"AC055764.1",15
"AC058791.1",0
"AC063976.7",0
"AC064834.1",1
"AC064875.2",1
"AC067959.1",1
"AC068522.4",1
"AC068580.6",1
"AC068831.18",1
"AC069282.6",2
"AC073063.10",0
"AC073115.6",1
"AC073130.1",8
"AC073130.3",1
"AC073254.1",0
"AC073321.4",1
"AC073333.8",0
"AC073343.13",0
"AC073621.2",0
"AC074117.10",0
"AC074286.1",0
"AC074289.1",1
"AC074366.3",1
"AC074391.1",1
"AC079145.4",1
"AC079250.1",1
"AC079305.10",1
"AC079305.11",1
"AC079305.8",1
"AC079325.5",1
"AC079613.1",1
"AC079807.2",1
"AC079807.4",1
"AC079922.3",1
"AC083843.1",1
"AC083843.4",12
"AC083884.8",0
"AC083899.3",0
"AC083900.1",1
"AC084082.3",16
"AC084219.4",0
"AC087294.2",0
"AC091132.1",1
"AC091633.2",23
"AC091633.3",1
"AC092155.4",1
"AC092162.1",1
"AC092168.2",0
"AC092295.4",0
"AC092301.3",0
"AC092431.3",7
"AC092597.3",0
"AC092614.2",2
"AC092675.3",0
"AC092835.2",0
"AC092839.4",0
"AC093110.3",0
"AC093162.5",0
"AC093323.3",1
"AC093627.10",0
"AC093627.9",0
"AC093673.5",0
"AC093690.1",0
"AC093802.1",1
"AC093818.1",0
"AC093850.1",0
"AC096574.4",1
"AC096921.2",0
"AC097468.4",1
"AC097721.2",0
"AC097724.3",1
"AC098614.2",0
"AC098872.3",1
"AC099535.4",1
"AC099552.3",1
"AC099552.4",1
"AC099684.1",1
"AC099850.1",0
"AC100830.3",1
"AC104131.1",1
"AC104530.1",1
"AC104534.2",1
"AC104653.1",1
"AC104777.1",1
"AC105053.3",0
"AC105398.3",1
"AC105760.2",0
"AC106706.1",1
"AC106869.2",1
"AC107079.1",1
"AC107081.5",0
"AC108448.2",0
"AC108463.2",0
"AC108676.1",0
"AC110769.3",1
"AC110781.3",1
"AC112229.1",1
"AC112715.2",1
"AC113189.5",1
"AC115522.3",0
"AC122136.2",1
"AC123023.1",8
"AC124789.1",0
"AC125238.2",1
"AC127904.2",0
"AC128709.3",1
"AC128709.4",1
"AC135178.7",0
"AC137723.5",1
"AC137932.4",0
"AC137932.5",9
"AC137932.6",5
"AC138035.2",0
"AC139099.4",1
"AC139100.3",1
"AC139100.4",1
"AC141586.5",1
"AC142293.3",1
"AC142472.6",1
"AC144450.1",0
"AC144450.2",2
"AC144530.1",23
"AC144831.1",7
"AC144831.3",0
"AC144833.1",1
"AC145343.2",1
"AC145676.2",1
"AC147651.1",1
"AC156455.1",0
"AC159540.1",0
"AC226118.1",1
"ACAA1",0
"ACAA2",3
"ACACA",3
"ACACB",1
"ACAD10",0
"ACAD11",0
"ACAD8",1
"ACAD9",3
"ACADM",3
"ACADS",2
"ACADSB",0
"ACADVL",0
"ACAN",0
"ACAP1",1
"ACAP2",0
"ACAP3",0
"ACAT1",3
"ACAT2",0
"ACBD3",1
"ACBD4",1
"ACBD5",0
"ACBD6",0
"ACBD7",1
"ACCS",0
"ACCSL",1
"ACD",0
"ACE",7
"ACE2",4
"ACER2",1
"ACER3",0
"ACHE",1
"ACIN1",0
"ACKR1",2
"ACKR2",0
"ACKR3",10
"ACKR4",4
"ACLY",3
"ACO1",0
"ACO2",5
"ACOD1",0
"ACOT1",0
"ACOT11",8
"ACOT12",1
"ACOT13",0
"ACOT2",0
"ACOT4",3
"ACOT7",0
"ACOT8",0
"ACOT9",2
"ACOX1",0
"ACOX2",0
"ACOX3",0
"ACOXL",1
"ACOXL-AS1",1
"ACP1",2
"ACP2",3
"ACP4",2
"ACP5",0
"ACP6",0
"ACR",0
"ACRBP",2
"ACRP1",1
"ACSBG1",1
"ACSBG2",1
"ACSF2",0
"ACSF3",2
"ACSL1",0
"ACSL3",2
"ACSL4",0
"ACSL5",0
"ACSL6",1
"ACSM1",1
"ACSM3",4
"ACSM5",5
"ACSS1",11
"ACSS2",7
"ACSS3",0
"ACTA1",22
"ACTA2",0
"ACTB",2
"ACTBP4",1
"ACTBP7",1
"ACTC1",22
"ACTG1",2
"ACTG1P10",1
"ACTG1P14",1
"ACTG1P17",1
"ACTG1P20",1
"ACTG1P25",1
"ACTG1P3",0
"ACTG2",1
"ACTL10",0
"ACTL6A",3
"ACTL7A",12
"ACTN1",1
"ACTN2",1
"ACTN3",1
"ACTN4",0
"ACTR10",2
"ACTR1A",5
"ACTR1B",2
"ACTR2",2
"ACTR3",0
"ACTR3B",0
"ACTR3BP4",1
"ACTR3C",1
"ACTR5",2
"ACTR6",0
"ACTR8",0
"ACTRT3",1
"ACVR1",4
"ACVR1B",0
"ACVR1C",1
"ACVR2A",0
"ACVR2B",0
"ACVR2B-AS1",4
"ACVRL1",11
"ACYP1",5
"ACYP2",1
"ADA",2
"ADA2",0
"ADAL",0
"ADAM10",0
"ADAM11",1
"ADAM12",0
"ADAM15",0
"ADAM17",1
"ADAM19",0
"ADAM20",1
"ADAM20P1",1
"ADAM21",1
"ADAM22",0
"ADAM23",8
"ADAM28",5
"ADAM32",1
"ADAM5",1
"ADAM8",0
"ADAM9",3
"ADAMTS1",4
"ADAMTS10",0
"ADAMTS12",1
"ADAMTS13",1
"ADAMTS15",0
"ADAMTS17",1
"ADAMTS18",0
"ADAMTS2",7
"ADAMTS20",1
"ADAMTS3",1
"ADAMTS4",2
"ADAMTS5",7
"ADAMTS6",3
"ADAMTS7",0
"ADAMTS8",1
"ADAMTS9",2
"ADAMTS9-AS1",2
"ADAMTS9-AS2",1
"ADAMTSL1",1
"ADAMTSL2",0
"ADAMTSL3",0
"ADAMTSL4",1
"ADAMTSL4-AS1",1
"ADAMTSL4-AS2",1
"ADAP1",1
"ADAP2",1
"ADAR",25
"ADARB1",3
"ADAT1",1
"ADAT2",3
"ADAT3",21
"ADCK1",0
"ADCK2",2
"ADCK5",2
"ADCY1",0
"ADCY10",1
"ADCY10P1",1
"ADCY2",4
"ADCY3",0
"ADCY4",0
"ADCY5",0
"ADCY6",13
"ADCY7",0
"ADCY9",8
"ADCYAP1R1",1
"ADD1",3
"ADD2",0
"ADD3",3
"ADD3-AS1",1
"ADGRA2",0
"ADGRA3",3
"ADGRB1",1
"ADGRB2",1
"ADGRD1",1
"ADGRE1",1
"ADGRE2",6
"ADGRE4P",1
"ADGRE5",1
"ADGRF2",1
"ADGRF3",0
"ADGRF4",1
"ADGRF5",0
"ADGRG1",0
"ADGRG2",6
"ADGRG3",0
"ADGRG5",1
"ADGRG6",0
"ADGRG7",16
"ADGRL1",3
"ADGRL1-AS1",3
"ADGRL2",0
"ADGRL3",1
"ADGRL4",3
"ADGRV1",1
"ADH5",3
"ADHFE1",1
"ADI1",0
"ADIPOR1",5
"ADIPOR2",0
"ADIRF-AS1",1
"ADK",0
"ADM",0
"ADM2",37
"ADM5",0
"ADNP",1
"ADNP2",1
"ADNP-AS1",1
"ADO",3
"ADORA1",17
"ADORA2A",2
"ADORA2A-AS1",0
"ADORA2B",0
